lead_id,created_at,channel,agency_size,lead_score,setter_id,closer_id
L-10030,2025-02-03 00:00:00,TikTok,2-5 agents,1,Setter A,Closer B
L-10031,2025-05-26 00:00:00,Meta,16+ agents,5,Setter C,Closer C
L-10032,2025-03-08 00:00:00,Meta,2-5 agents,3,Setter C,Closer B
L-10033,2025-03-23 00:00:00,LinkedIn,Solo,9,Setter B,Closer D
L-10034,2025-06-14 00:00:00,Google Search,16+ agents,3,Setter A,Closer B
L-10035,2025-03-03 00:00:00,Meta,6-15 agents,4,Setter B,Closer A
L-10036,2025-04-27 00:00:00,Referral,2-5 agents,8,Setter B,Closer A
L-10037,2025-06-12 00:00:00,Google Search,Solo,5,Setter B,Closer D
L-10038,2025-03-30 00:00:00,Cold Outreach,2-5 agents,3,Setter C,Closer D
L-10039,2025-02-25 00:00:00,Google Search,Solo,5,Setter C,Closer B
L-10040,2025-06-11 00:00:00,Google Search,2-5 agents,5,Setter A,Closer B
L-10041,2025-06-13 00:00:00,Cold Outreach,16+ agents,7,Setter C,Closer C
L-10042,2025-03-09 00:00:00,TikTok,Solo,2,Setter C,Closer B
L-10043,2025-05-30 00:00:00,Meta,Solo,5,Setter A,Closer B
L-10044,2025-03-07 00:00:00,Cold Outreach,16+ agents,6,Setter A,Closer A
L-10045,2025-03-25 00:00:00,Meta,16+ agents,6,Setter C,Closer A
L-10046,2025-06-18 00:00:00,Meta,Solo,3,Setter C,Closer C
L-10047,2025-02-13 00:00:00,TikTok,6-15 agents,1,Setter B,Closer A
L-10048,2025-02-08 00:00:00,Meta,Solo,8,Setter B,Closer B
L-10049,2025-06-24 00:00:00,Google Search,16+ agents,5,Setter C,Closer C
L-10050,2025-04-12 00:00:00,Meta,6-15 agents,8,Setter A,Closer C
L-10051,2025-05-17 00:00:00,Google Search,6-15 agents,5,Setter A,Closer C
L-10052,2025-02-01 00:00:00,Cold Outreach,6-15 agents,5,Setter B,Closer D
L-10053,2025-03-26 00:00:00,Google Search,Solo,5,Setter B,Closer B
L-10054,2025-02-10 00:00:00,TikTok,6-15 agents,2,Setter C,Closer A
L-10055,2025-03-30 00:00:00,Meta,6-15 agents,3,Setter A,Closer D
L-10056,2025-06-28 00:00:00,Meta,6-15 agents,3,Setter A,Closer A
L-10057,2025-06-06 00:00:00,Google Search,16+ agents,7,Setter A,Closer D
L-10058,2025-04-14 00:00:00,Google Search,16+ agents,8,Setter C,Closer C
L-10059,2025-05-13 00:00:00,Meta,6-15 agents,3,Setter C,Closer B
L-10060,2025-05-13 00:00:00,Google Search,16+ agents,8,Setter A,Closer A
L-10061,2025-01-09 00:00:00,Google Search,Solo,7,Setter B,Closer D
L-10062,2025-06-08 00:00:00,LinkedIn,Solo,9,Setter C,Closer A
L-10063,2025-01-26 00:00:00,Google Search,6-15 agents,4,Setter A,Closer B
L-10064,2025-04-21 00:00:00,Referral,Solo,8,Setter A,Closer B
L-10065,2025-06-17 00:00:00,Meta,2-5 agents,4,Setter A,Closer C
L-10066,2025-05-30 00:00:00,Meta,Solo,4,Setter A,Closer C
L-10067,2025-06-16 00:00:00,Cold Outreach,16+ agents,3,Setter A,Closer C
L-10068,2025-05-05 00:00:00,Meta,6-15 agents,7,Setter C,Closer D
L-10069,2025-04-01 00:00:00,Google Search,Solo,7,Setter C,Closer B
L-10070,2025-05-08 00:00:00,Meta,16+ agents,3,Setter A,Closer D
L-10071,2025-06-05 00:00:00,Cold Outreach,2-5 agents,6,Setter A,Closer A
L-10072,2025-04-27 00:00:00,Meta,16+ agents,4,Setter C,Closer B
L-10073,2025-05-31 00:00:00,TikTok,16+ agents,3,Setter C,Closer D
L-10074,2025-06-17 00:00:00,Google Search,2-5 agents,4,Setter C,Closer A
L-10075,2025-05-13 00:00:00,Meta,2-5 agents,4,Setter B,Closer C
L-10076,2025-05-02 00:00:00,Meta,16+ agents,6,Setter C,Closer A
L-10077,2025-02-22 00:00:00,LinkedIn,Solo,10,Setter C,Closer D
L-10078,2025-04-14 00:00:00,Meta,16+ agents,8,Setter B,Closer D
L-10079,2025-06-10 00:00:00,Google Search,2-5 agents,6,Setter B,Closer B
L-10080,2025-04-30 00:00:00,LinkedIn,16+ agents,8,Setter A,Closer D
L-10081,2025-06-14 00:00:00,LinkedIn,Solo,9,Setter A,Closer D
L-10082,2025-01-15 00:00:00,Cold Outreach,16+ agents,5,Setter A,Closer D
L-10083,2025-04-01 00:00:00,TikTok,2-5 agents,4,Setter C,Closer D
L-10084,2025-05-03 00:00:00,Referral,Solo,10,Setter A,Closer A
L-10085,2025-05-18 00:00:00,Referral,2-5 agents,10,Setter A,Closer A
L-10086,2025-02-01 00:00:00,Google Search,2-5 agents,3,Setter B,Closer A
L-10087,2025-05-27 00:00:00,LinkedIn,2-5 agents,7,Setter B,Closer B
L-10088,2025-05-27 00:00:00,Meta,6-15 agents,5,Setter A,Closer D
L-10089,2025-04-21 00:00:00,Meta,2-5 agents,7,Setter B,Closer A
L-10090,2025-03-12 00:00:00,LinkedIn,2-5 agents,8,Setter A,Closer C
L-10091,2025-03-17 00:00:00,Meta,Solo,6,Setter B,Closer A
L-10092,2025-04-12 00:00:00,Referral,Solo,9,Setter C,Closer D
L-10093,2025-04-25 00:00:00,Meta,Solo,5,Setter C,Closer B
L-10094,2025-03-03 00:00:00,Referral,6-15 agents,9,Setter C,Closer B
L-10095,2025-06-21 00:00:00,TikTok,Solo,4,Setter B,Closer B
L-10096,2025-03-24 00:00:00,Cold Outreach,16+ agents,7,Setter A,Closer C
L-10097,2025-04-30 00:00:00,Meta,6-15 agents,3,Setter A,Closer A
L-10098,2025-06-27 00:00:00,Meta,16+ agents,8,Setter C,Closer D
L-10099,2025-04-06 00:00:00,LinkedIn,16+ agents,10,Setter C,Closer B
L-10100,2025-06-01 00:00:00,LinkedIn,16+ agents,10,Setter C,Closer A
L-10101,2025-03-08 00:00:00,LinkedIn,16+ agents,7,Setter B,Closer A
L-10102,2025-05-26 00:00:00,Meta,16+ agents,4,Setter C,Closer D
L-10103,2025-05-06 00:00:00,Meta,2-5 agents,8,Setter A,Closer B
L-10104,2025-02-14 00:00:00,Meta,16+ agents,5,Setter A,Closer B
L-10105,2025-06-16 00:00:00,LinkedIn,2-5 agents,7,Setter C,Closer D
L-10106,2025-04-22 00:00:00,TikTok,2-5 agents,4,Setter B,Closer D
L-10107,2025-05-25 00:00:00,Google Search,16+ agents,6,Setter A,Closer C
L-10108,2025-05-15 00:00:00,LinkedIn,2-5 agents,9,Setter C,Closer D
L-10109,2025-05-04 00:00:00,Cold Outreach,Solo,6,Setter C,Closer C
L-10110,2025-05-13 00:00:00,Meta,6-15 agents,6,Setter A,Closer A
L-10111,2025-04-20 00:00:00,Meta,Solo,5,Setter B,Closer D
L-10112,2025-06-17 00:00:00,Meta,6-15 agents,3,Setter B,Closer A
L-10113,2025-05-09 00:00:00,Cold Outreach,16+ agents,6,Setter A,Closer D
L-10114,2025-06-29 00:00:00,Meta,16+ agents,7,Setter B,Closer D
L-10115,2025-06-14 00:00:00,Cold Outreach,2-5 agents,6,Setter C,Closer C
L-10116,2025-04-20 00:00:00,Google Search,Solo,5,Setter C,Closer C
L-10117,2025-06-23 00:00:00,Meta,6-15 agents,3,Setter A,Closer B
L-10118,2025-05-20 00:00:00,Google Search,Solo,6,Setter B,Closer C
L-10119,2025-04-30 00:00:00,Meta,2-5 agents,3,Setter C,Closer A
L-10120,2025-01-31 00:00:00,TikTok,Solo,2,Setter C,Closer A
L-10121,2025-05-30 00:00:00,Meta,16+ agents,6,Setter A,Closer B
L-10122,2025-04-13 00:00:00,Meta,6-15 agents,3,Setter C,Closer C
L-10123,2025-05-07 00:00:00,Google Search,16+ agents,3,Setter C,Closer D
L-10124,2025-06-18 00:00:00,Meta,6-15 agents,3,Setter B,Closer C
L-10125,2025-05-01 00:00:00,Meta,6-15 agents,7,Setter A,Closer B
L-10126,2025-04-19 00:00:00,LinkedIn,16+ agents,8,Setter A,Closer B
L-10127,2025-02-20 00:00:00,TikTok,6-15 agents,3,Setter C,Closer B
L-10128,2025-02-02 00:00:00,TikTok,16+ agents,2,Setter A,Closer C
L-10129,2025-06-05 00:00:00,LinkedIn,2-5 agents,7,Setter B,Closer D
L-10130,2025-06-01 00:00:00,Google Search,Solo,6,Setter B,Closer D
L-10131,2025-04-13 00:00:00,TikTok,16+ agents,4,Setter A,Closer C
L-10132,2025-06-24 00:00:00,Meta,2-5 agents,5,Setter C,Closer B
L-10133,2025-06-24 00:00:00,Meta,Solo,4,Setter A,Closer A
L-10134,2025-06-06 00:00:00,Cold Outreach,6-15 agents,3,Setter A,Closer B
L-10135,2025-05-13 00:00:00,Meta,6-15 agents,7,Setter B,Closer D
L-10136,2025-04-26 00:00:00,LinkedIn,Solo,7,Setter C,Closer D
L-10137,2025-05-29 00:00:00,Meta,6-15 agents,4,Setter A,Closer C
L-10138,2025-06-14 00:00:00,LinkedIn,6-15 agents,8,Setter B,Closer D
L-10139,2025-06-29 00:00:00,TikTok,Solo,3,Setter A,Closer D
L-10140,2025-06-09 00:00:00,LinkedIn,6-15 agents,8,Setter B,Closer A
L-10141,2025-05-27 00:00:00,Google Search,Solo,8,Setter C,Closer A
L-10142,2025-06-25 00:00:00,Referral,16+ agents,8,Setter B,Closer C
L-10143,2025-06-13 00:00:00,Google Search,Solo,3,Setter A,Closer A
L-10144,2025-04-22 00:00:00,TikTok,16+ agents,1,Setter B,Closer B
L-10145,2025-05-17 00:00:00,LinkedIn,6-15 agents,7,Setter A,Closer D
L-10146,2025-06-10 00:00:00,Google Search,6-15 agents,4,Setter A,Closer A
L-10147,2025-05-28 00:00:00,Meta,Solo,4,Setter B,Closer A
L-10148,2025-06-20 00:00:00,LinkedIn,16+ agents,9,Setter A,Closer B
L-10149,2025-05-04 00:00:00,LinkedIn,Solo,10,Setter A,Closer D
L-10150,2025-05-21 00:00:00,LinkedIn,2-5 agents,8,Setter B,Closer D
L-10151,2025-06-20 00:00:00,Cold Outreach,Solo,6,Setter B,Closer C
L-10152,2025-02-18 00:00:00,Google Search,16+ agents,4,Setter B,Closer C
L-10153,2025-06-17 00:00:00,Referral,6-15 agents,10,Setter A,Closer A
L-10154,2025-05-25 00:00:00,Meta,16+ agents,3,Setter B,Closer A
L-10155,2025-06-13 00:00:00,LinkedIn,16+ agents,7,Setter B,Closer A
L-10156,2025-03-22 00:00:00,Meta,16+ agents,6,Setter A,Closer B
L-10157,2025-02-05 00:00:00,Meta,2-5 agents,8,Setter C,Closer D
L-10158,2025-05-28 00:00:00,Google Search,Solo,6,Setter B,Closer D
L-10159,2025-06-02 00:00:00,Referral,16+ agents,10,Setter C,Closer A
L-10160,2025-06-19 00:00:00,TikTok,Solo,3,Setter A,Closer A
L-10161,2025-06-21 00:00:00,Meta,Solo,5,Setter B,Closer B
L-10162,2025-06-06 00:00:00,Meta,2-5 agents,5,Setter A,Closer D
L-10163,2025-06-09 00:00:00,Google Search,2-5 agents,5,Setter C,Closer B
L-10164,2025-01-25 00:00:00,Meta,Solo,6,Setter A,Closer A
L-10165,2025-06-26 00:00:00,Meta,2-5 agents,4,Setter B,Closer B
L-10166,2025-04-16 00:00:00,TikTok,Solo,5,Setter C,Closer A
L-10167,2025-05-26 00:00:00,Meta,2-5 agents,7,Setter C,Closer B
L-10168,2025-06-09 00:00:00,Google Search,16+ agents,4,Setter C,Closer A
L-10169,2025-06-07 00:00:00,Meta,Solo,5,Setter B,Closer D
L-10170,2025-04-21 00:00:00,Meta,2-5 agents,5,Setter A,Closer B
L-10171,2025-06-18 00:00:00,TikTok,2-5 agents,1,Setter A,Closer A
L-10172,2025-06-17 00:00:00,Cold Outreach,Solo,6,Setter C,Closer C
L-10173,2025-02-27 00:00:00,Meta,Solo,5,Setter A,Closer B
L-10174,2025-05-06 00:00:00,Referral,Solo,9,Setter A,Closer A
L-10175,2025-03-27 00:00:00,Google Search,6-15 agents,3,Setter B,Closer D
L-10176,2025-06-08 00:00:00,Meta,Solo,3,Setter B,Closer D
L-10177,2025-06-21 00:00:00,Meta,2-5 agents,5,Setter A,Closer B
L-10178,2025-04-05 00:00:00,Google Search,2-5 agents,4,Setter B,Closer D
L-10179,2025-02-04 00:00:00,TikTok,16+ agents,3,Setter A,Closer D
L-10180,2025-03-01 00:00:00,LinkedIn,16+ agents,8,Setter B,Closer A
L-10181,2025-04-17 00:00:00,Meta,16+ agents,8,Setter C,Closer D
L-10182,2025-06-11 00:00:00,Meta,Solo,3,Setter C,Closer D
L-10183,2025-05-13 00:00:00,Cold Outreach,16+ agents,3,Setter B,Closer D
L-10184,2025-02-01 00:00:00,Meta,6-15 agents,6,Setter C,Closer A
L-10185,2025-02-23 00:00:00,Meta,2-5 agents,7,Setter C,Closer C
L-10186,2025-05-09 00:00:00,LinkedIn,16+ agents,8,Setter C,Closer C
L-10187,2025-03-09 00:00:00,Meta,2-5 agents,6,Setter B,Closer B
L-10188,2025-06-22 00:00:00,Google Search,16+ agents,7,Setter A,Closer A
L-10189,2025-04-27 00:00:00,LinkedIn,2-5 agents,7,Setter A,Closer D
L-10190,2025-03-06 00:00:00,TikTok,16+ agents,5,Setter A,Closer D
L-10191,2025-05-01 00:00:00,Meta,2-5 agents,7,Setter B,Closer C
L-10192,2025-06-28 00:00:00,TikTok,6-15 agents,4,Setter B,Closer C
L-10193,2025-04-24 00:00:00,Meta,16+ agents,7,Setter B,Closer B
L-10194,2025-05-07 00:00:00,Meta,6-15 agents,7,Setter C,Closer D
L-10195,2025-04-10 00:00:00,Meta,6-15 agents,8,Setter A,Closer A
L-10196,2025-04-03 00:00:00,Google Search,16+ agents,8,Setter C,Closer B
L-10197,2025-04-09 00:00:00,Cold Outreach,6-15 agents,5,Setter B,Closer A
L-10198,2025-03-29 00:00:00,Meta,6-15 agents,3,Setter B,Closer D
L-10199,2025-05-25 00:00:00,Google Search,2-5 agents,6,Setter C,Closer B
L-10200,2025-05-02 00:00:00,Meta,16+ agents,7,Setter A,Closer D
L-10201,2025-01-28 00:00:00,Google Search,16+ agents,5,Setter A,Closer C
L-10202,2025-04-25 00:00:00,Meta,16+ agents,3,Setter C,Closer B
L-10203,2025-03-25 00:00:00,Google Search,16+ agents,4,Setter B,Closer B
L-10204,2025-02-21 00:00:00,Meta,Solo,7,Setter B,Closer D
L-10205,2025-04-13 00:00:00,LinkedIn,2-5 agents,8,Setter C,Closer B
L-10206,2025-04-21 00:00:00,LinkedIn,6-15 agents,7,Setter A,Closer A
L-10207,2025-04-07 00:00:00,LinkedIn,2-5 agents,10,Setter A,Closer A
L-10208,2025-05-24 00:00:00,TikTok,2-5 agents,1,Setter C,Closer C
L-10209,2025-05-07 00:00:00,TikTok,Solo,3,Setter A,Closer A
L-10210,2025-04-05 00:00:00,LinkedIn,16+ agents,10,Setter A,Closer A
L-10211,2025-03-01 00:00:00,Cold Outreach,2-5 agents,7,Setter C,Closer A
L-10212,2025-04-03 00:00:00,Google Search,2-5 agents,7,Setter C,Closer A
L-10213,2025-04-30 00:00:00,TikTok,16+ agents,2,Setter B,Closer A
L-10214,2025-04-13 00:00:00,Cold Outreach,2-5 agents,5,Setter C,Closer A
L-10215,2025-06-13 00:00:00,Google Search,6-15 agents,4,Setter C,Closer D
L-10216,2025-04-24 00:00:00,Cold Outreach,Solo,3,Setter C,Closer D
L-10217,2025-05-29 00:00:00,Google Search,Solo,5,Setter A,Closer C
L-10218,2025-06-04 00:00:00,Google Search,2-5 agents,8,Setter C,Closer B
L-10219,2025-05-22 00:00:00,Meta,2-5 agents,4,Setter C,Closer A
L-10220,2025-05-23 00:00:00,TikTok,2-5 agents,3,Setter B,Closer C
L-10221,2025-06-17 00:00:00,Cold Outreach,Solo,4,Setter C,Closer A
L-10222,2025-02-27 00:00:00,Cold Outreach,16+ agents,5,Setter A,Closer D
L-10223,2025-06-21 00:00:00,Cold Outreach,Solo,6,Setter B,Closer C
L-10224,2025-06-26 00:00:00,LinkedIn,6-15 agents,8,Setter A,Closer A
L-10225,2025-04-05 00:00:00,TikTok,6-15 agents,4,Setter C,Closer B
L-10226,2025-05-24 00:00:00,Google Search,Solo,6,Setter A,Closer D
L-10227,2025-04-29 00:00:00,Google Search,Solo,4,Setter B,Closer B
L-10228,2025-04-15 00:00:00,LinkedIn,6-15 agents,7,Setter B,Closer B
L-10229,2025-05-29 00:00:00,Meta,16+ agents,4,Setter B,Closer D
L-10230,2025-05-16 00:00:00,Meta,2-5 agents,4,Setter A,Closer D
L-10231,2025-06-29 00:00:00,Meta,2-5 agents,3,Setter A,Closer A
L-10232,2025-04-21 00:00:00,Meta,Solo,4,Setter B,Closer D
L-10233,2025-06-21 00:00:00,Google Search,2-5 agents,3,Setter B,Closer A
L-10234,2025-03-31 00:00:00,TikTok,6-15 agents,5,Setter C,Closer A
L-10235,2025-06-27 00:00:00,TikTok,16+ agents,1,Setter C,Closer B
L-10236,2025-06-17 00:00:00,Meta,Solo,3,Setter C,Closer D
L-10237,2025-01-23 00:00:00,Meta,6-15 agents,4,Setter B,Closer C
L-10238,2025-03-30 00:00:00,Meta,2-5 agents,3,Setter A,Closer A
L-10239,2025-06-08 00:00:00,TikTok,2-5 agents,4,Setter A,Closer A
L-10240,2025-04-18 00:00:00,Meta,Solo,6,Setter A,Closer C
L-10241,2025-02-16 00:00:00,Meta,2-5 agents,4,Setter A,Closer C
L-10242,2025-05-27 00:00:00,Meta,6-15 agents,8,Setter B,Closer C
L-10243,2025-03-28 00:00:00,Cold Outreach,Solo,5,Setter A,Closer C
L-10244,2025-06-04 00:00:00,Cold Outreach,6-15 agents,3,Setter B,Closer C
L-10245,2025-02-14 00:00:00,Meta,2-5 agents,5,Setter A,Closer D
L-10246,2025-06-25 00:00:00,Google Search,6-15 agents,8,Setter A,Closer C
L-10247,2025-04-30 00:00:00,LinkedIn,6-15 agents,10,Setter A,Closer A
L-10248,2025-02-09 00:00:00,Google Search,16+ agents,6,Setter B,Closer C
L-10249,2025-03-09 00:00:00,Meta,Solo,5,Setter C,Closer B
L-10250,2025-03-08 00:00:00,LinkedIn,6-15 agents,10,Setter A,Closer D
L-10251,2025-05-06 00:00:00,Google Search,16+ agents,6,Setter A,Closer C
L-10252,2025-06-10 00:00:00,Meta,Solo,4,Setter A,Closer A
L-10253,2025-04-19 00:00:00,Meta,16+ agents,4,Setter C,Closer D
L-10254,2025-06-22 00:00:00,TikTok,2-5 agents,3,Setter B,Closer B
L-10255,2025-04-05 00:00:00,TikTok,16+ agents,5,Setter C,Closer C
L-10256,2025-05-09 00:00:00,TikTok,16+ agents,2,Setter B,Closer C
L-10257,2025-05-26 00:00:00,Meta,16+ agents,7,Setter A,Closer A
L-10258,2025-06-25 00:00:00,Meta,Solo,7,Setter B,Closer D
L-10259,2025-04-19 00:00:00,LinkedIn,2-5 agents,8,Setter A,Closer C
L-10260,2025-05-29 00:00:00,TikTok,16+ agents,1,Setter B,Closer A
L-10261,2025-05-04 00:00:00,Meta,6-15 agents,7,Setter C,Closer D
L-10262,2025-04-22 00:00:00,Meta,2-5 agents,7,Setter B,Closer C
L-10263,2025-01-25 00:00:00,Referral,6-15 agents,9,Setter C,Closer B
L-10264,2025-02-05 00:00:00,Cold Outreach,Solo,4,Setter C,Closer D
L-10265,2025-04-29 00:00:00,Google Search,6-15 agents,5,Setter B,Closer B
L-10266,2025-05-11 00:00:00,Meta,6-15 agents,3,Setter C,Closer C
L-10267,2025-06-20 00:00:00,Google Search,16+ agents,3,Setter B,Closer B
L-10268,2025-06-17 00:00:00,LinkedIn,6-15 agents,7,Setter A,Closer B
L-10269,2025-04-19 00:00:00,Google Search,6-15 agents,5,Setter B,Closer A
L-10270,2025-03-21 00:00:00,Meta,Solo,7,Setter A,Closer D
L-10271,2025-06-09 00:00:00,Google Search,2-5 agents,4,Setter A,Closer B
L-10272,2025-01-23 00:00:00,Google Search,6-15 agents,8,Setter C,Closer B
L-10273,2025-06-21 00:00:00,TikTok,16+ agents,4,Setter A,Closer A
L-10274,2025-02-27 00:00:00,LinkedIn,6-15 agents,7,Setter B,Closer D
L-10275,2025-04-20 00:00:00,Meta,Solo,8,Setter B,Closer C
L-10276,2025-02-22 00:00:00,Google Search,16+ agents,7,Setter A,Closer A
L-10277,2025-03-27 00:00:00,TikTok,6-15 agents,2,Setter A,Closer A
L-10278,2025-06-22 00:00:00,Meta,16+ agents,8,Setter C,Closer C
L-10279,2025-05-08 00:00:00,TikTok,16+ agents,5,Setter A,Closer A
L-10280,2025-05-16 00:00:00,Meta,6-15 agents,5,Setter C,Closer B
L-10281,2025-05-20 00:00:00,Cold Outreach,2-5 agents,8,Setter C,Closer A
L-10282,2025-06-16 00:00:00,TikTok,6-15 agents,4,Setter B,Closer B
L-10283,2025-05-27 00:00:00,TikTok,Solo,3,Setter C,Closer B
L-10284,2025-04-23 00:00:00,Google Search,Solo,4,Setter C,Closer A
L-10285,2025-06-13 00:00:00,Meta,16+ agents,6,Setter B,Closer B
L-10286,2025-06-09 00:00:00,Google Search,6-15 agents,7,Setter B,Closer D
L-10287,2025-06-06 00:00:00,Meta,Solo,3,Setter A,Closer C
L-10288,2025-04-14 00:00:00,Cold Outreach,2-5 agents,7,Setter C,Closer B
L-10289,2025-03-02 00:00:00,Meta,16+ agents,4,Setter A,Closer D
L-10290,2025-04-25 00:00:00,Meta,16+ agents,3,Setter A,Closer D
L-10291,2025-06-22 00:00:00,LinkedIn,16+ agents,10,Setter C,Closer C
L-10292,2025-03-31 00:00:00,Meta,16+ agents,5,Setter A,Closer D
L-10293,2025-05-27 00:00:00,Google Search,16+ agents,7,Setter A,Closer A
L-10294,2025-04-17 00:00:00,Meta,16+ agents,5,Setter C,Closer C
L-10295,2025-04-21 00:00:00,Google Search,Solo,7,Setter C,Closer D
L-10296,2025-02-17 00:00:00,LinkedIn,2-5 agents,8,Setter A,Closer D
L-10297,2025-04-10 00:00:00,Meta,Solo,8,Setter B,Closer A
L-10298,2025-03-10 00:00:00,Referral,Solo,10,Setter B,Closer C
L-10299,2025-02-26 00:00:00,Google Search,2-5 agents,8,Setter C,Closer D
L-10300,2025-05-16 00:00:00,TikTok,16+ agents,4,Setter A,Closer D
L-10301,2025-06-15 00:00:00,Meta,16+ agents,4,Setter B,Closer C
L-10302,2025-04-20 00:00:00,Meta,2-5 agents,3,Setter C,Closer D
L-10303,2025-01-28 00:00:00,Google Search,Solo,7,Setter A,Closer A
L-10304,2025-04-04 00:00:00,Google Search,6-15 agents,4,Setter B,Closer A
L-10305,2025-04-24 00:00:00,Meta,16+ agents,4,Setter A,Closer A
L-10306,2025-06-07 00:00:00,TikTok,16+ agents,2,Setter C,Closer A
L-10307,2025-05-24 00:00:00,TikTok,16+ agents,3,Setter B,Closer A
L-10308,2025-03-23 00:00:00,Cold Outreach,2-5 agents,6,Setter A,Closer A
L-10309,2025-05-22 00:00:00,Google Search,6-15 agents,5,Setter A,Closer B
L-10310,2025-06-14 00:00:00,Google Search,16+ agents,3,Setter B,Closer A
L-10311,2025-06-01 00:00:00,LinkedIn,6-15 agents,7,Setter B,Closer D
L-10312,2025-03-07 00:00:00,TikTok,2-5 agents,1,Setter C,Closer A
L-10313,2025-04-30 00:00:00,TikTok,16+ agents,3,Setter C,Closer C
L-10314,2025-06-14 00:00:00,Meta,Solo,7,Setter C,Closer C
L-10315,2025-06-25 00:00:00,Meta,6-15 agents,8,Setter A,Closer B
L-10316,2025-01-29 00:00:00,LinkedIn,6-15 agents,10,Setter B,Closer B
L-10317,2025-05-21 00:00:00,TikTok,2-5 agents,1,Setter A,Closer D
L-10318,2025-04-30 00:00:00,Referral,2-5 agents,9,Setter C,Closer C
L-10319,2025-05-06 00:00:00,Meta,2-5 agents,7,Setter C,Closer A
L-10320,2025-04-18 00:00:00,TikTok,16+ agents,2,Setter C,Closer A
L-10321,2025-06-21 00:00:00,TikTok,2-5 agents,2,Setter A,Closer C
L-10322,2025-05-20 00:00:00,TikTok,2-5 agents,5,Setter B,Closer B
L-10323,2025-05-17 00:00:00,Meta,6-15 agents,7,Setter C,Closer C
L-10324,2025-06-08 00:00:00,Cold Outreach,16+ agents,3,Setter C,Closer D
L-10325,2025-06-01 00:00:00,Cold Outreach,2-5 agents,3,Setter A,Closer D
L-10326,2025-06-13 00:00:00,Cold Outreach,Solo,6,Setter B,Closer A
L-10327,2025-02-08 00:00:00,Meta,Solo,4,Setter A,Closer B
L-10328,2025-02-25 00:00:00,Cold Outreach,6-15 agents,6,Setter C,Closer C
L-10329,2025-06-11 00:00:00,Cold Outreach,2-5 agents,5,Setter B,Closer C
L-10330,2025-05-13 00:00:00,TikTok,Solo,3,Setter C,Closer D
L-10331,2025-06-24 00:00:00,Meta,6-15 agents,4,Setter C,Closer A
L-10332,2025-06-29 00:00:00,Google Search,6-15 agents,7,Setter A,Closer A
L-10333,2025-06-22 00:00:00,Google Search,6-15 agents,5,Setter A,Closer A
L-10334,2025-04-25 00:00:00,Meta,Solo,3,Setter A,Closer B
L-10335,2025-05-17 00:00:00,Cold Outreach,Solo,8,Setter C,Closer D
L-10336,2025-06-25 00:00:00,Meta,Solo,4,Setter A,Closer B
L-10337,2025-04-19 00:00:00,Meta,6-15 agents,3,Setter A,Closer A
