"report_month","channel","agency_size","total_leads","avg_lead_score","booked_calls","show_ups","closed_deals","setup_revenue","retainer_revenue","upsell_revenue","total_ltv","allocated_spend","allocated_impressions","allocated_clicks"
"2025-06","Referral","Solo","7","8.86","7","4","1","12000","17500","0","29500","0.00","0","0"
"2025-06","TikTok","16+ agents","33","2.76","11","8","3","22000","34500","0","56500","4358.00","261480","14892"
"2025-06","TikTok","2-5 agents","30","3.17","9","4","2","35000","82500","0","117500","4358.00","261480","14892"
"2025-06","TikTok","6-15 agents","25","3.28","5","4","0","0","0","0","0","4358.00","261480","14892"
"2025-06","TikTok","Solo","37","3.19","5","4","3","22000","24000","7500","53500","4358.00","261480","14892"
"2025-05","Cold Outreach","16+ agents","9","5.78","2","2","0","0","0","0","0","0.00","0","0"
"2025-05","Cold Outreach","2-5 agents","15","5.73","3","2","1","5000","6000","0","11000","0.00","0","0"
"2025-05","Cold Outreach","6-15 agents","20","5.50","1","0","0","0","0","0","0","0.00","0","0"
"2025-05","Cold Outreach","Solo","18","6.39","6","3","1","5000","9000","0","14000","0.00","0","0"
"2025-05","Google Search","16+ agents","42","5.50","20","13","3","22000","30500","0","52500","5070.00","283920","7969"
"2025-05","Google Search","2-5 agents","50","5.48","24","20","9","91000","168000","2500","261500","5070.00","283920","7969"
"2025-05","Google Search","6-15 agents","54","5.52","19","15","6","69000","166000","5000","240000","5070.00","283920","7969"
"2025-05","Google Search","Solo","48","5.69","25","18","6","83000","147000","25000","255000","5070.00","283920","7969"
"2025-05","LinkedIn","16+ agents","26","8.54","21","13","2","35000","90500","0","125500","5194.25","228547","8243"
"2025-05","LinkedIn","2-5 agents","25","8.72","21","12","6","51000","86000","0","137000","5194.25","228547","8243"
"2025-05","LinkedIn","6-15 agents","22","8.27","17","10","2","35000","89000","0","124000","5194.25","228547","8243"
"2025-05","LinkedIn","Solo","18","8.72","13","9","5","46000","88000","10000","144000","5194.25","228547","8243"
"2025-05","Meta","16+ agents","58","5.64","34","26","9","84000","164500","12500","261000","6646.50","478548","13959"
"2025-05","Meta","2-5 agents","68","5.68","29","21","9","84000","179000","5000","268000","6646.50","478548","13959"
"2025-05","Meta","6-15 agents","74","5.32","25","21","7","81000","174500","7500","263000","6646.50","478548","13959"
"2025-05","Meta","Solo","60","5.15","27","22","7","113000","239500","5000","357500","6646.50","478548","13959"
"2025-05","Referral","16+ agents","7","9.29","5","3","1","30000","96000","0","126000","0.00","0","0"
"2025-05","Referral","2-5 agents","12","9.17","5","3","1","5000","3000","0","8000","0.00","0","0"
"2025-05","Referral","6-15 agents","7","9.14","5","4","2","17000","34000","0","51000","0.00","0","0"
"2025-05","Referral","Solo","19","8.95","12","10","6","80000","187000","2500","269500","0.00","0","0"
"2025-05","TikTok","16+ agents","28","2.96","12","9","4","20000","37500","10000","67500","3600.50","180025","8332"
"2025-05","TikTok","2-5 agents","34","2.94","7","6","3","22000","30500","0","52500","3600.50","180025","8332"
"2025-05","TikTok","6-15 agents","28","3.21","8","8","6","58000","94500","2500","155000","3600.50","180025","8332"
"2025-05","TikTok","Solo","21","2.95","4","2","1","30000","72000","7500","109500","3600.50","180025","8332"
"2025-04","Cold Outreach","16+ agents","16","5.25","2","2","2","42000","100000","0","142000","0.00","0","0"
"2025-04","Cold Outreach","2-5 agents","19","5.21","2","2","1","30000","88000","0","118000","0.00","0","0"
"2025-04","Cold Outreach","6-15 agents","15","5.67","1","1","0","0","0","0","0","0.00","0","0"
"2025-04","Cold Outreach","Solo","12","5.33","2","1","0","0","0","0","0","0.00","0","0"
"2025-04","Google Search","16+ agents","32","5.34","15","13","4","34000","50500","2500","87000","4873.00","384967","14597"
"2025-04","Google Search","2-5 agents","42","5.52","20","14","3","15000","22500","0","37500","4873.00","384967","14597"
"2025-04","Google Search","6-15 agents","42","5.31","18","15","10","146000","312000","15000","473000","4873.00","384967","14597"
"2025-04","Google Search","Solo","43","5.47","20","16","3","47000","104000","0","151000","4873.00","384967","14597"
"2025-04","LinkedIn","16+ agents","10","8.40","8","5","3","47000","67000","7500","121500","3976.50","178942","12658"
"2025-04","LinkedIn","2-5 agents","16","8.13","11","7","2","17000","26500","0","43500","3976.50","178942","12658"
"2025-04","LinkedIn","6-15 agents","16","8.44","12","10","7","81000","145500","10000","236500","3976.50","178942","12658"
"2025-04","LinkedIn","Solo","15","8.07","11","10","7","74000","124500","17500","216000","3976.50","178942","12658"
"2025-04","Meta","16+ agents","50","5.66","26","16","5","64000","161500","0","225500","6207.75","484204","12372"
"2025-04","Meta","2-5 agents","44","5.36","21","11","1","5000","4500","0","9500","6207.75","484204","12372"
"2025-04","Meta","6-15 agents","52","5.54","25","16","4","34000","75000","2500","111500","6207.75","484204","12372"
"2025-04","Meta","Solo","59","5.51","30","17","9","73000","135500","10000","218500","6207.75","484204","12372"
"2025-04","Referral","16+ agents","5","9.40","3","2","1","5000","1500","2500","9000","0.00","0","0"
"2025-04","Referral","2-5 agents","12","8.92","10","6","3","40000","98000","0","138000","0.00","0","0"
"2025-04","Referral","6-15 agents","4","9.25","3","2","2","42000","89500","2500","134000","0.00","0","0"
"2025-04","Referral","Solo","11","9.00","7","5","2","17000","24000","5000","46000","0.00","0","0"
"2025-04","TikTok","16+ agents","31","2.65","9","7","2","10000","22500","0","32500","4058.00","304350","11434"
"2025-04","TikTok","2-5 agents","23","2.35","2","1","1","5000","4500","0","9500","4058.00","304350","11434"
"2025-04","TikTok","6-15 agents","15","2.80","5","3","1","5000","9000","2500","16500","4058.00","304350","11434"
"2025-04","TikTok","Solo","12","4.33","4","3","1","12000","21000","0","33000","4058.00","304350","11434"
"2025-03","Cold Outreach","16+ agents","7","5.29","4","2","1","5000","10500","0","15500","0.00","0","0"
"2025-03","Cold Outreach","2-5 agents","15","5.47","2","2","1","12000","24500","0","36500","0.00","0","0"
"2025-03","Cold Outreach","6-15 agents","12","5.08","3","1","0","0","0","0","0","0.00","0","0"
"2025-03","Cold Outreach","Solo","14","5.71","5","5","3","15000","30000","0","45000","0.00","0","0"
"2025-03","Google Search","16+ agents","23","4.96","8","6","2","10000","30000","10000","50000","4497.25","305813","8599"
"2025-03","Google Search","2-5 agents","16","5.13","8","6","2","17000","21500","0","38500","4497.25","305813","8599"
"2025-03","Google Search","6-15 agents","27","5.74","16","10","2","35000","84500","0","119500","4497.25","305813","8599"
"2025-03","Google Search","Solo","30","5.37","10","6","4","52000","113500","7500","173000","4497.25","305813","8599"
"2025-03","LinkedIn","16+ agents","12","8.42","9","5","2","10000","19500","2500","32000","4523.75","226187","14674"
"2025-03","LinkedIn","2-5 agents","15","9.13","11","5","3","47000","119000","0","166000","4523.75","226187","14674"
"2025-03","LinkedIn","6-15 agents","16","8.25","11","10","3","29000","31000","2500","62500","4523.75","226187","14674"
"2025-03","LinkedIn","Solo","4","8.50","3","2","2","10000","13500","0","23500","4523.75","226187","14674"
"2025-03","Meta","16+ agents","32","5.78","15","10","6","94000","240500","2500","337000","5940.25","457399","12631"
"2025-03","Meta","2-5 agents","36","5.47","13","10","3","40000","106000","0","146000","5940.25","457399","12631"
"2025-03","Meta","6-15 agents","32","5.34","15","11","0","0","0","0","0","5940.25","457399","12631"
"2025-03","Meta","Solo","35","5.57","19","12","5","57000","136500","0","193500","5940.25","457399","12631"
"2025-03","Referral","16+ agents","5","9.20","4","3","2","10000","19500","0","29500","0.00","0","0"
"2025-03","Referral","2-5 agents","4","8.25","2","1","0","0","0","0","0","0.00","0","0"
"2025-03","Referral","6-15 agents","9","8.89","6","3","1","5000","10500","0","15500","0.00","0","0"
"2025-03","Referral","Solo","7","8.71","6","4","0","0","0","0","0","0.00","0","0"
"2025-03","TikTok","16+ agents","14","3.36","2","2","0","0","0","0","0","3926.00","188448","8940"
"2025-03","TikTok","2-5 agents","16","3.13","5","5","0","0","0","0","0","3926.00","188448","8940"
"2025-03","TikTok","6-15 agents","20","3.15","3","2","1","12000","24500","2500","39000","3926.00","188448","8940"
"2025-03","TikTok","Solo","12","3.67","4","3","1","5000","3000","0","8000","3926.00","188448","8940"
"2025-02","Cold Outreach","16+ agents","4","5.25","1","1","1","12000","28000","2500","42500","0.00","0","0"
"2025-02","Cold Outreach","2-5 agents","4","5.50","1","1","1","5000","10500","2500","18000","0.00","0","0"
"2025-02","Cold Outreach","6-15 agents","6","5.17","1","1","0","0","0","0","0","0.00","0","0"
"2025-02","Cold Outreach","Solo","8","4.88","3","3","2","10000","16500","0","26500","0.00","0","0"
"2025-02","Google Search","16+ agents","12","5.67","7","6","5","46000","84500","5000","135500","4944.00","385632","12658"
"2025-02","Google Search","2-5 agents","17","5.82","9","6","3","22000","30000","0","52000","4944.00","385632","12658"
"2025-02","Google Search","6-15 agents","9","4.89","2","1","0","0","0","0","0","4944.00","385632","12658"
"2025-02","Google Search","Solo","16","5.06","7","3","1","5000","3000","0","8000","4944.00","385632","12658"
"2025-02","LinkedIn","16+ agents","10","8.30","7","6","1","30000","96000","0","126000","4286.25","171450","11487"
"2025-02","LinkedIn","2-5 agents","10","8.50","7","4","0","0","0","0","0","4286.25","171450","11487"
"2025-02","LinkedIn","6-15 agents","7","8.00","3","3","1","5000","4500","2500","12000","4286.25","171450","11487"
"2025-02","LinkedIn","Solo","6","8.50","3","2","2","17000","32000","0","49000","4286.25","171450","11487"
"2025-02","Meta","16+ agents","23","5.39","6","4","3","29000","44500","0","73500","5356.50","305320","15096"
"2025-02","Meta","2-5 agents","21","5.71","10","8","5","50000","118000","17500","185500","5356.50","305320","15096"
"2025-02","Meta","6-15 agents","16","5.13","7","6","3","29000","48000","2500","79500","5356.50","305320","15096"
"2025-02","Meta","Solo","20","5.55","9","6","3","40000","111000","7500","158500","5356.50","305320","15096"
"2025-02","Referral","16+ agents","3","8.67","3","3","2","35000","82500","0","117500","0.00","0","0"
"2025-02","Referral","2-5 agents","1","9.00","1","1","0","0","0","0","0","0.00","0","0"
"2025-02","Referral","6-15 agents","1","10.00","1","0","0","0","0","0","0","0.00","0","0"
"2025-02","Referral","Solo","2","9.50","2","1","0","0","0","0","0","0.00","0","0"
"2025-02","TikTok","16+ agents","8","2.38","1","0","0","0","0","0","0","3130.50","153394","4724"
"2025-02","TikTok","2-5 agents","8","2.38","1","0","0","0","0","0","0","3130.50","153394","4724"
"2025-02","TikTok","6-15 agents","13","3.15","5","4","0","0","0","0","0","3130.50","153394","4724"
"2025-02","TikTok","Solo","5","2.60","1","1","1","12000","7000","7500","26500","3130.50","153394","4724"
"2025-01","Cold Outreach","16+ agents","3","6.33","1","1","0","0","0","0","0","0.00","0","0"
"2025-01","Cold Outreach","2-5 agents","3","5.33","2","0","0","0","0","0","0","0.00","0","0"
"2025-01","Cold Outreach","6-15 agents","3","4.00","0","0","0","0","0","0","0","0.00","0","0"
"2025-01","Cold Outreach","Solo","5","5.80","2","2","2","42000","66500","2500","111000","0.00","0","0"
"2025-01","Google Search","16+ agents","7","4.57","3","1","0","0","0","0","0","4260.25","170410","14495"
"2025-01","Google Search","2-5 agents","5","6.00","2","1","1","12000","17500","0","29500","4260.25","170410","14495"
"2025-01","Google Search","6-15 agents","10","6.30","3","3","1","5000","9000","0","14000","4260.25","170410","14495"
"2025-01","Google Search","Solo","7","5.14","6","4","1","5000","4500","0","9500","4260.25","170410","14495"
"2025-01","LinkedIn","16+ agents","2","7.00","1","0","0","0","0","0","0","3889.50","221701","7983"
"2025-01","LinkedIn","2-5 agents","1","8.00","1","1","1","30000","80000","0","110000","3889.50","221701","7983"
"2025-01","LinkedIn","6-15 agents","3","9.00","2","2","1","5000","13500","0","18500","3889.50","221701","7983"
"2025-01","LinkedIn","Solo","1","8.00","0","0","0","0","0","0","0","3889.50","221701","7983"
"2025-01","Meta","16+ agents","6","5.00","3","2","0","0","0","0","0","5109.00","229905","12661"
"2025-01","Meta","2-5 agents","5","5.20","3","2","2","10000","18000","0","28000","5109.00","229905","12661"
"2025-01","Meta","6-15 agents","6","4.67","3","2","1","5000","12000","0","17000","5109.00","229905","12661"
"2025-01","Meta","Solo","6","5.00","1","0","0","0","0","0","0","5109.00","229905","12661"
"2025-01","Referral","2-5 agents","2","10.00","2","2","1","30000","88000","0","118000","0.00","0","0"
"2025-01","Referral","6-15 agents","2","9.50","2","1","0","0","0","0","0","0.00","0","0"
"2025-01","Referral","Solo","1","9.00","1","0","0","0","0","0","0","0.00","0","0"
"2025-01","TikTok","16+ agents","8","3.00","2","0","0","0","0","0","0","2869.25","143462","9698"
"2025-01","TikTok","2-5 agents","3","3.00","1","1","0","0","0","0","0","2869.25","143462","9698"
"2025-01","TikTok","6-15 agents","6","3.17","2","2","1","12000","21000","0","33000","2869.25","143462","9698"
"2025-01","TikTok","Solo","3","3.00","1","0","0","0","0","0","0","2869.25","143462","9698"
