lead_id,booked_call,showed_up,time_to_first_contact_mins,follow_up_attempts
L-10230,False,False,91,5
L-10231,False,False,0,4
L-10232,False,False,9,1
L-10233,False,False,66,3
L-10234,False,False,35,1
L-10235,False,False,8,9
L-10236,False,False,23,5
L-10237,False,False,3,6
L-10238,False,False,87,2
L-10239,True,True,379,11
L-10240,True,True,140,7
L-10241,True,False,3,3
L-10242,True,True,2,11
L-10243,False,False,7,5
L-10244,False,False,47,9
L-10245,True,True,67,9
L-10246,True,True,19,1
L-10247,True,False,7,7
L-10248,False,False,36,8
L-10249,False,False,2,1
L-10250,True,True,60,1
L-10251,True,True,1,6
L-10252,True,False,60,11
L-10253,True,False,18,4
L-10254,True,False,64,5
L-10255,True,True,22,10
L-10256,True,True,43,6
L-10257,True,False,10,8
L-10258,True,True,95,10
L-10259,True,False,21,8
L-10260,False,False,218,6
L-10261,True,True,9,2
L-10262,True,False,48,9
L-10263,True,False,54,3
L-10264,True,True,15,6
L-10265,False,False,22,6
L-10266,False,False,41,10
L-10267,False,False,26,9
L-10268,False,False,22,5
L-10269,False,False,6,9
L-10270,True,True,8,1
L-10271,False,False,78,9
L-10272,False,False,20,3
L-10273,False,False,1,3
L-10274,False,False,38,8
L-10275,True,True,30,7
L-10276,False,False,29,9
L-10277,False,False,13,8
L-10278,True,True,5,9
L-10279,False,False,12,11
L-10280,False,False,42,9
L-10281,True,True,0,4
L-10282,False,False,11,1
L-10283,False,False,15,1
L-10284,False,False,8,9
L-10285,False,False,16,10
L-10286,True,False,34,11
L-10287,False,False,7,9
L-10288,False,False,19,6
L-10289,False,False,6,2
L-10290,True,False,7,8
L-10291,True,True,98,5
L-10292,True,True,13,7
L-10293,True,True,79,2
L-10294,False,False,2,9
L-10295,True,True,118,3
L-10296,True,False,31,11
L-10297,True,False,70,9
L-10298,True,False,32,9
L-10299,True,True,53,7
L-10300,True,True,76,4
L-10301,False,False,24,4
L-10302,False,False,10,2
L-10303,True,False,68,5
L-10304,True,True,3,7
L-10305,True,False,25,6
L-10306,False,False,77,1
L-10307,False,False,11,7
L-10308,False,False,4,5
L-10309,True,True,63,8
L-10310,False,False,117,7
L-10311,True,True,6,11
L-10312,False,False,25,9
L-10313,True,True,40,1
L-10314,True,True,27,10
L-10315,True,True,89,1
L-10316,True,True,206,2
L-10317,False,False,34,2
L-10318,True,False,11,6
L-10319,False,False,61,3
L-10320,False,False,26,10
L-10321,True,False,31,4
L-10322,False,False,39,10
L-10323,False,False,219,2
L-10324,False,False,138,2
L-10325,False,False,4,6
L-10326,False,False,20,9
L-10327,True,True,55,5
L-10328,False,False,36,11
L-10329,False,False,41,3
L-10330,True,False,14,5
L-10331,False,False,88,9
L-10332,True,True,59,5
L-10333,False,False,4,4
L-10334,False,False,45,9
L-10335,False,False,17,8
L-10336,False,False,6,9
L-10337,False,False,15,6
L-10338,True,True,16,8
L-10339,False,False,52,11
L-10340,False,False,6,11
L-10341,True,False,13,9
L-10342,False,False,112,3
L-10343,True,True,8,6
L-10344,True,True,8,11
L-10345,False,False,0,10
L-10346,True,True,45,10
L-10347,False,False,59,8
L-10348,False,False,12,5
L-10349,False,False,46,9
L-10350,True,True,14,5
L-10351,False,False,13,7
L-10352,False,False,13,5
L-10353,False,False,19,9
L-10354,False,False,15,8
L-10355,True,False,66,11
L-10356,False,False,47,3
L-10357,False,False,41,7
L-10358,False,False,8,9
L-10359,True,True,19,9
L-10360,False,False,6,6
L-10361,False,False,92,5
L-10362,True,False,95,9
L-10363,True,False,53,2
L-10364,False,False,81,10
L-10365,False,False,41,10
L-10366,False,False,73,3
L-10367,True,False,15,5
L-10368,True,True,28,4
L-10369,False,False,154,3
L-10370,False,False,59,1
L-10371,True,False,88,10
L-10372,True,False,141,4
L-10373,False,False,56,9
L-10374,False,False,69,6
L-10375,False,False,41,8
L-10376,False,False,73,4
L-10377,True,True,82,1
L-10378,True,False,128,2
L-10379,False,False,75,1
L-10380,True,True,19,6
L-10381,True,True,95,2
L-10382,False,False,34,10
L-10383,False,False,67,1
L-10384,False,False,198,8
L-10385,True,True,147,6
L-10386,True,True,126,9
L-10387,True,True,96,3
L-10388,True,True,11,1
L-10389,True,False,56,9
L-10390,False,False,127,11
L-10391,True,True,19,11
L-10392,False,False,4,5
L-10393,False,False,10,5
L-10394,False,False,24,6
L-10395,False,False,1,10
L-10396,False,False,5,5
L-10397,True,True,142,4
L-10398,True,True,47,2
L-10399,True,False,9,1
L-10400,False,False,44,2
L-10401,False,False,5,4
L-10402,True,False,57,7
L-10403,False,False,11,5
L-10404,False,False,4,6
L-10405,True,False,89,10
L-10406,True,True,176,1
L-10407,False,False,35,11
L-10408,True,True,18,5
L-10409,False,False,18,5
L-10410,False,False,6,4
L-10411,True,True,4,8
L-10412,False,False,23,4
L-10413,False,False,0,4
L-10414,True,False,19,10
L-10415,False,False,9,1
L-10416,True,True,57,2
L-10417,True,True,2,10
L-10418,False,False,7,5
L-10419,True,True,12,11
L-10420,False,False,23,1
L-10421,True,False,19,10
L-10422,False,False,51,10
L-10423,True,True,106,5
L-10424,True,True,10,11
L-10425,False,False,88,2
L-10426,False,False,26,1
L-10427,True,False,188,2
L-10428,False,False,13,10
L-10429,False,False,31,8
L-10430,False,False,76,6
L-10431,False,False,45,2
L-10432,False,False,70,8
L-10433,False,False,81,5
L-10434,False,False,24,2
L-10435,False,False,26,7
L-10436,True,False,44,5
L-10437,True,False,4,11
L-10438,True,False,60,10
L-10439,False,False,24,10
L-10440,True,True,34,5
L-10441,True,False,24,3
L-10442,False,False,44,5
L-10443,True,True,2,4
L-10444,True,True,20,7
L-10445,False,False,35,10
L-10446,False,False,36,3
L-10447,False,False,40,7
L-10448,False,False,16,3
L-10449,False,False,107,3
L-10450,False,False,57,8
L-10451,False,False,56,6
L-10452,False,False,9,9
L-10453,False,False,27,7
L-10454,True,False,119,9
L-10455,True,False,42,9
L-10456,False,False,67,7
L-10457,True,False,30,9
L-10458,True,True,21,2
L-10459,False,False,2,2
L-10460,True,False,13,5
L-10461,False,False,13,3
L-10462,False,False,37,6
L-10463,True,False,185,4
L-10464,False,False,143,8
L-10465,False,False,26,10
L-10466,False,False,27,2
L-10467,True,True,14,3
L-10468,False,False,116,11
L-10469,False,False,137,8
L-10470,True,True,24,5
L-10471,False,False,72,3
L-10472,False,False,22,1
L-10473,False,False,48,8
L-10474,False,False,43,8
L-10475,False,False,106,6
L-10476,False,False,11,1
L-10477,True,True,5,1
L-10478,False,False,34,7
L-10479,True,True,97,5
L-10480,False,False,34,6
L-10481,True,True,20,2
L-10482,True,True,6,8
L-10483,False,False,101,5
L-10484,True,False,12,11
L-10485,False,False,13,9
L-10486,True,True,57,8
L-10487,False,False,12,10
L-10488,True,True,29,8
L-10489,True,True,38,9
L-10490,False,False,22,11
L-10491,True,True,236,4
L-10492,False,False,194,7
L-10493,False,False,150,2
L-10494,False,False,4,9
L-10495,False,False,44,4
L-10496,False,False,24,6
L-10497,True,True,13,9
L-10498,True,True,37,4
L-10499,False,False,29,7
L-10500,True,True,18,7
L-10501,True,True,52,8
L-10502,True,False,9,10
L-10503,True,True,14,6
L-10504,False,False,0,3
L-10505,False,False,48,1
L-10506,False,False,5,10
L-10507,True,False,102,10
L-10508,True,True,18,7
L-10509,False,False,112,4
L-10510,True,True,1,2
L-10511,False,False,2,8
L-10512,False,False,26,10
L-10513,False,False,4,7
L-10514,False,False,13,6
L-10515,True,True,18,11
L-10516,False,False,70,9
L-10517,False,False,24,3
L-10518,False,False,17,3
L-10519,False,False,13,1
L-10520,False,False,57,3
L-10521,True,False,14,4
L-10522,True,True,39,2
L-10523,False,False,5,8
L-10524,False,False,27,3
L-10525,False,False,114,1
L-10526,False,False,69,10
L-10527,False,False,10,1
L-10528,False,False,59,6
L-10529,False,False,6,6
L-10530,True,True,1,10
L-10531,False,False,3,10
L-10532,True,True,19,6
L-10533,True,True,24,7
L-10534,False,False,20,11
L-10535,False,False,16,3
L-10536,False,False,34,8
L-10537,False,False,4,3
L-10538,False,False,87,5
L-10539,True,True,5,6
L-10540,False,False,42,8
L-10541,True,True,94,10
L-10542,False,False,43,4
L-10543,True,False,44,10
L-10544,True,True,1,7
L-10545,True,True,31,1
L-10546,False,False,27,8
L-10547,True,True,6,10
L-10548,True,True,6,6
L-10549,False,False,176,3
L-10550,False,False,29,11
L-10551,False,False,6,3
L-10552,True,False,19,7
L-10553,False,False,16,2
L-10554,True,True,21,11
L-10555,False,False,41,8
L-10556,False,False,91,1
L-10557,False,False,12,11
L-10558,False,False,11,2
L-10559,True,False,14,4
L-10560,True,True,9,1
L-10561,True,True,2,11
L-10562,False,False,0,4
L-10563,True,True,19,9
L-10564,False,False,51,7
L-10565,False,False,66,11
L-10566,False,False,7,3
L-10567,True,True,74,10
L-10568,False,False,112,5
L-10569,False,False,25,9
L-10570,False,False,51,10
L-10571,False,False,11,4
L-10572,True,True,64,1
L-10573,True,False,40,2
L-10574,False,False,17,2
L-10575,False,False,11,3
L-10576,False,False,49,2
L-10577,False,False,17,7
L-10578,True,False,103,4
L-10579,False,False,35,1
L-10580,True,True,20,6
L-10581,False,False,96,5
L-10582,False,False,72,9
L-10583,False,False,76,7
L-10584,False,False,51,8
L-10585,False,False,33,8
L-10586,False,False,19,7
L-10587,False,False,33,9
L-10588,True,True,91,6
L-10589,True,False,64,2
L-10590,True,True,19,11
L-10591,False,False,8,3
L-10592,False,False,8,2
L-10593,False,False,11,6
L-10594,True,False,52,6
L-10595,False,False,1,7
L-10596,False,False,26,11
L-10597,False,False,33,10
L-10598,False,False,7,7
L-10599,True,True,6,2
L-10600,False,False,171,2
L-10601,False,False,4,7
L-10602,False,False,78,3
L-10603,True,True,84,1
L-10604,False,False,27,9
L-10605,True,False,88,10
L-10606,True,False,28,3
L-10607,True,False,33,9
L-10608,False,False,72,5
L-10609,False,False,237,9
L-10610,False,False,22,10
L-10611,False,False,43,2
L-10612,False,False,19,5
L-10613,False,False,55,2
L-10614,False,False,93,10
L-10615,False,False,35,10
L-10616,True,True,9,8
L-10617,False,False,54,7
L-10618,True,True,64,8
L-10619,False,False,35,7
L-10620,True,True,13,5
L-10621,True,True,13,9
L-10622,False,False,37,10
L-10623,False,False,1,1
L-10624,True,False,71,5
L-10625,True,True,77,10
L-10626,True,False,49,8
L-10627,False,False,49,11
L-10628,True,False,15,11
L-10629,False,False,108,4
L-10630,False,False,42,4
L-10631,False,False,1,10
L-10632,False,False,1,4
L-10633,True,True,26,6
L-10634,False,False,16,1
L-10635,True,True,92,8
L-10636,True,False,57,7
L-10637,True,True,3,6
L-10638,False,False,6,1
L-10639,True,True,50,10
L-10640,True,False,43,8
L-10641,False,False,2,4
L-10642,True,False,76,6
L-10643,True,True,28,7
L-10644,False,False,77,4
L-10645,False,False,187,8
L-10646,True,False,20,7
L-10647,False,False,74,7
L-10648,False,False,16,2
L-10649,False,False,15,6
L-10650,False,False,54,2
L-10651,True,False,71,4
L-10652,False,False,9,9
L-10653,True,True,13,1
L-10654,True,False,2,1
L-10655,False,False,26,2
L-10656,False,False,29,6
L-10657,False,False,32,3
L-10658,False,False,10,4
L-10659,True,False,37,2
L-10660,True,True,2,2
L-10661,False,False,13,6
L-10662,False,False,3,4
L-10663,False,False,48,10
L-10664,True,False,99,6
L-10665,True,True,4,9
L-10666,False,False,27,11
L-10667,True,False,71,3
L-10668,False,False,27,5
L-10669,False,False,5,6
L-10670,False,False,41,9
L-10671,False,False,132,4
L-10672,True,True,24,10
L-10673,False,False,12,10
L-10674,True,True,39,3
L-10675,False,False,21,11
L-10676,False,False,10,8
L-10677,True,False,36,4
L-10678,False,False,18,6
L-10679,False,False,6,8
L-10680,False,False,81,1
L-10681,False,False,47,9
L-10682,False,False,49,3
L-10683,False,False,62,10
L-10684,True,False,25,6
L-10685,False,False,4,8
L-10686,False,False,36,1
L-10687,True,True,108,11
L-10688,True,True,33,1
L-10689,True,True,30,6
L-10690,False,False,88,6
L-10691,False,False,118,5
L-10692,True,True,32,1
L-10693,False,False,1,9
L-10694,False,False,21,1
L-10695,False,False,10,3
L-10696,True,True,177,5
L-10697,True,False,18,7
L-10698,True,True,65,8
L-10699,False,False,55,3
L-10700,True,True,30,2
L-10701,False,False,42,8
L-10702,False,False,4,11
L-10703,False,False,5,10
L-10704,True,True,96,8
L-10705,True,True,56,5
L-10706,False,False,36,10
L-10707,True,True,0,6
L-10708,False,False,93,9
L-10709,False,False,29,2
L-10710,False,False,3,3
L-10711,False,False,6,2
L-10712,False,False,51,4
L-10713,True,True,96,3
L-10714,True,False,61,4
L-10715,True,True,131,6
L-10716,True,True,136,8
L-10717,False,False,216,3
L-10718,True,False,29,11
L-10719,False,False,5,2
L-10720,True,True,69,1
L-10721,True,True,129,11
L-10722,False,False,111,5
L-10723,True,False,130,7
L-10724,False,False,58,11
L-10725,True,True,5,2
L-10726,False,False,11,4
L-10727,True,True,59,1
L-10728,False,False,19,1
L-10729,False,False,2,10
L-10730,True,True,4,6
L-10731,False,False,21,8
L-10732,False,False,104,7
L-10733,False,False,63,10
L-10734,False,False,3,5
L-10735,True,True,3,2
L-10736,False,False,90,4
L-10737,True,True,45,8
L-10738,False,False,29,2
L-10739,True,False,43,2
L-10740,True,False,14,6
L-10741,False,False,68,6
L-10742,False,False,27,2
L-10743,False,False,3,11
L-10744,False,False,86,5
L-10745,False,False,12,11
L-10746,False,False,103,3
L-10747,False,False,53,11
L-10748,False,False,28,3
L-10749,False,False,119,4
L-10750,False,False,0,10
L-10751,False,False,27,1
L-10752,True,True,34,9
L-10753,True,True,31,11
L-10754,True,True,130,7
L-10755,True,True,43,8
L-10756,False,False,28,6
L-10757,False,False,158,2
L-10758,False,False,56,3
L-10759,False,False,119,2
L-10760,True,True,62,5
L-10761,False,False,25,11
L-10762,True,True,14,1
L-10763,True,True,38,1
L-10764,False,False,103,9
L-10765,True,True,45,11
L-10766,False,False,19,3
L-10767,True,True,19,10
L-10768,False,False,6,10
L-10769,False,False,14,2
L-10770,True,True,42,7
L-10771,True,True,37,9
L-10772,True,True,34,7
L-10773,False,False,10,4
L-10774,False,False,15,11
L-10775,False,False,73,9
L-10776,True,True,3,9
L-10777,True,True,38,1
L-10778,False,False,5,8
L-10779,False,False,18,8
L-10780,False,False,8,6
L-10781,True,False,53,9
L-10782,True,True,88,9
L-10783,False,False,9,11
L-10784,True,True,147,4
L-10785,True,True,30,4
L-10786,False,False,28,8
L-10787,False,False,73,2
L-10788,True,True,20,6
L-10789,True,True,149,3
L-10790,False,False,66,4
L-10791,True,True,309,11
L-10792,True,False,40,1
L-10793,True,True,62,7
L-10794,False,False,52,2
L-10795,False,False,93,8
L-10796,True,True,1,9
L-10797,True,True,7,3
L-10798,True,True,68,9
L-10799,True,True,23,7
L-10800,True,False,33,7
L-10801,False,False,90,5
L-10802,True,True,136,4
L-10803,True,False,61,7
L-10804,False,False,1,9
L-10805,False,False,90,11
L-10806,True,False,71,9
L-10807,True,True,49,2
L-10808,False,False,44,4
L-10809,True,False,92,8
L-10810,True,True,7,2
L-10811,False,False,46,10
L-10812,True,True,19,9
L-10813,False,False,11,2
L-10814,False,False,80,4
L-10815,True,False,92,3
L-10816,True,True,50,2
L-10817,True,True,56,7
L-10818,True,True,43,7
L-10819,False,False,70,9
L-10820,False,False,100,11
L-10821,False,False,1,10
L-10822,False,False,112,3
L-10823,False,False,4,9
L-10824,True,False,37,5
L-10825,False,False,107,9
L-10826,True,False,9,2
L-10827,False,False,45,5
L-10828,False,False,36,10
L-10829,True,True,84,3
L-10830,False,False,94,10
L-10831,True,True,34,8
L-10832,False,False,74,6
L-10833,False,False,15,11
L-10834,False,False,79,1
L-10835,False,False,26,7
L-10836,True,True,44,9
L-10837,True,True,4,5
L-10838,False,False,5,9
L-10839,False,False,3,3
L-10840,True,True,18,4
L-10841,False,False,2,2
L-10842,False,False,47,1
L-10843,False,False,29,4
L-10844,True,False,26,5
L-10845,False,False,4,2
L-10846,True,True,58,4
L-10847,True,True,115,5
L-10848,True,True,59,7
L-10849,True,True,21,6
L-10850,True,False,59,7
L-10851,False,False,9,2
L-10852,True,True,19,3
L-10853,True,True,2,9
L-10854,True,True,74,11
L-10855,False,False,37,11
L-10856,False,False,94,10
L-10857,False,False,1,8
L-10858,True,True,25,10
L-10859,False,False,29,11
L-10860,True,True,50,3
L-10861,True,True,34,8
L-10862,False,False,81,1
L-10863,False,False,109,1
L-10864,False,False,26,8
L-10865,True,True,248,4
L-10866,False,False,89,11
L-10867,False,False,131,4
L-10868,False,False,145,3
L-10869,True,True,13,3
L-10870,True,True,68,10
L-10871,False,False,165,3
L-10872,False,False,2,3
L-10873,True,True,47,2
L-10874,False,False,293,5
L-10875,True,False,33,2
L-10876,False,False,70,2
L-10877,False,False,13,4
L-10878,True,True,57,5
L-10879,False,False,17,9
L-10880,True,False,6,6
L-10881,True,True,41,6
L-10882,False,False,14,10
L-10883,False,False,22,6
L-10884,False,False,194,6
L-10885,False,False,36,6
L-10886,False,False,20,9
L-10887,True,False,22,3
L-10888,True,True,120,4
L-10889,False,False,70,4
L-10890,False,False,46,8
L-10891,False,False,0,9
L-10892,False,False,72,6
L-10893,True,True,5,7
L-10894,True,False,44,2
L-10895,False,False,22,10
L-10896,False,False,54,4
L-10897,True,True,159,9
L-10898,True,False,87,1
L-10899,True,True,41,6
L-10900,True,True,21,7
L-10901,True,False,249,2
L-10902,False,False,15,9
L-10903,False,False,52,9
L-10904,False,False,25,5
L-10905,False,False,23,7
L-10906,False,False,29,2
L-10907,False,False,2,2
L-10908,False,False,29,2
L-10909,True,True,68,9
L-10910,True,True,13,8
L-10911,False,False,12,7
L-10912,False,False,0,3
L-10913,True,True,6,10
L-10914,False,False,38,7
L-10915,False,False,36,2
L-10916,True,True,16,7
L-10917,False,False,38,3
L-10918,True,True,33,2
L-10919,False,False,9,7
L-10920,False,False,31,3
L-10921,False,False,63,11
L-10922,False,False,26,1
L-10923,False,False,79,11
L-10924,False,False,2,10
L-10925,False,False,35,5
L-10926,True,True,127,5
L-10927,True,True,12,5
L-10928,True,True,46,7
L-10929,False,False,38,2
L-10930,True,False,6,4
L-10931,False,False,32,7
L-10932,True,True,159,7
L-10933,False,False,32,4
L-10934,False,False,14,9
L-10935,True,True,59,11
L-10936,True,True,14,10
L-10937,False,False,127,1
L-10938,False,False,3,8
L-10939,False,False,102,3
L-10940,True,True,17,1
L-10941,True,False,27,6
L-10942,False,False,10,6
L-10943,True,True,8,2
L-10944,True,True,12,5
L-10945,False,False,54,4
L-10946,False,False,69,10
L-10947,True,True,4,8
L-10948,False,False,33,9
L-10949,True,True,3,4
L-10950,True,True,28,10
L-10951,False,False,23,5
L-10952,False,False,81,10
L-10953,True,True,17,5
L-10954,True,True,41,11
L-10955,False,False,15,5
L-10956,True,True,47,5
L-10957,True,True,6,8
L-10958,True,True,35,7
L-10959,True,True,36,6
L-10960,False,False,89,2
L-10961,False,False,71,7
L-10962,False,False,20,11
L-10963,True,True,6,3
L-10964,False,False,20,8
L-10965,False,False,1,6
L-10966,True,False,20,9
L-10967,True,True,7,2
L-10968,True,False,8,5
L-10969,True,True,73,1
L-10970,True,False,94,9
L-10971,False,False,59,2
L-10972,True,False,49,1
L-10973,False,False,59,2
L-10974,True,True,22,7
L-10975,True,True,66,2
L-10976,False,False,27,11
L-10977,False,False,81,11
L-10978,True,False,49,7
L-10979,True,False,91,6
L-10980,True,True,45,3
L-10981,True,False,4,6
L-10982,True,True,80,1
L-10983,False,False,8,5
L-10984,False,False,107,10
L-10985,True,True,28,7
L-10986,False,False,79,4
L-10987,False,False,26,3
L-10988,False,False,1,2
L-10989,True,True,57,2
L-10990,False,False,31,6
L-10991,False,False,74,8
L-10992,True,True,1,6
L-10993,True,False,85,8
L-10994,True,True,15,2
L-10995,False,False,9,7
L-10996,True,True,38,3
L-10997,False,False,71,7
L-10998,False,False,126,2
L-10999,True,True,271,10
L-11000,False,False,83,5
L-11001,True,True,4,3
L-11002,True,True,74,11
L-11003,True,True,13,7
L-11004,False,False,116,10
L-11005,True,True,16,3
L-11006,True,True,47,3
L-11007,False,False,19,10
L-11008,True,False,37,8
L-11009,False,False,64,4
L-11010,True,True,8,8
L-11011,False,False,20,5
L-11012,False,False,42,7
L-11013,True,False,92,3
L-11014,False,False,39,5
L-11015,False,False,36,11
L-11016,True,True,19,11
L-11017,False,False,32,3
L-11018,True,True,23,1
L-11019,False,False,21,1
L-11020,False,False,21,9
L-11021,False,False,41,4
L-11022,True,True,83,2
L-11023,True,True,20,6
L-11024,False,False,13,5
L-11025,False,False,1,7
L-11026,False,False,104,4
L-11027,False,False,211,6
L-11028,True,True,15,2
L-11029,False,False,81,3
L-11030,False,False,43,2
L-11031,True,True,91,8
L-11032,True,False,1,7
L-11033,True,True,1,10
L-11034,True,True,90,1
L-11035,True,False,14,1
L-11036,False,False,0,4
L-11037,False,False,7,10
L-11038,False,False,54,8
L-11039,False,False,26,1
L-11040,True,True,56,7
L-11041,True,False,15,5
L-11042,False,False,72,4
L-11043,False,False,29,6
L-11044,False,False,55,8
L-11045,False,False,5,7
L-11046,True,True,16,10
L-11047,True,False,16,3
L-11048,False,False,2,7
L-11049,True,True,60,5
L-11050,False,False,12,7
L-11051,False,False,79,2
L-11052,False,False,77,7
L-11053,False,False,183,8
L-11054,False,False,218,3
L-11055,False,False,0,7
L-11056,False,False,7,6
L-11057,False,False,45,4
L-11058,True,True,24,10
L-11059,False,False,36,4
L-11060,False,False,9,6
L-11061,True,False,29,4
L-11062,True,True,6,9
L-11063,True,True,3,8
L-11064,True,True,41,11
L-11065,False,False,35,10
L-11066,True,True,13,3
L-11067,False,False,2,2
L-11068,True,True,67,3
L-11069,False,False,5,9
L-11070,True,True,233,3
