sale_id,lead_id,sale_date,product_type,setup_fee,monthly_retainer,months_retained,upsell_revenue,csm_id
S-20050,L-10381,2025-03-14,Standard Package,5000,1500,8,0,CSM A
S-20051,L-10386,2025-04-10,Premium Growth,12000,3500,8,0,CSM A
S-20052,L-10388,2025-03-19,Standard Package,5000,1500,2,0,CSM A
S-20053,L-10398,2025-04-30,Standard Package,5000,1500,9,2500,CSM A
S-20054,L-10406,2025-04-04,Standard Package,5000,1500,5,0,CSM A
S-20055,L-10408,2025-06-03,Standard Package,5000,1500,3,0,CSM A
S-20056,L-10411,2025-04-18,Standard Package,5000,1500,6,0,CSM A
S-20057,L-10419,2025-06-10,Standard Package,5000,1500,5,2500,CSM A
S-20058,L-10440,2025-05-23,Premium Growth,12000,3500,7,0,CSM B
S-20059,L-10443,2025-04-10,Standard Package,5000,1500,2,0,CSM A
S-20060,L-10458,2025-07-07,Premium Growth,12000,3500,4,7500,CSM B
S-20061,L-10467,2025-05-26,Standard Package,5000,1500,6,0,CSM B
S-20062,L-10477,2025-05-07,Standard Package,5000,1500,5,0,CSM A
S-20063,L-10479,2025-06-26,Premium Growth,12000,3500,6,0,CSM B
S-20064,L-10481,2025-07-05,Standard Package,5000,1500,5,0,CSM A
S-20065,L-10486,2025-05-25,Premium Growth,12000,3500,8,0,CSM B
S-20066,L-10489,2025-06-25,Premium Growth,12000,3500,5,0,CSM B
S-20067,L-10491,2025-06-27,Standard Package,5000,1500,5,7500,CSM B
S-20068,L-10497,2025-04-19,Standard Package,5000,1500,5,0,CSM B
S-20069,L-10498,2025-04-18,Standard Package,5000,1500,2,0,CSM B
S-20070,L-10500,2025-02-16,Standard Package,5000,1500,4,0,CSM B
S-20071,L-10503,2025-04-17,Premium Growth,12000,3500,4,0,CSM A
S-20072,L-10530,2025-04-05,Standard Package,5000,1500,7,0,CSM B
S-20073,L-10532,2025-02-13,Premium Growth,12000,3500,6,0,CSM B
S-20074,L-10533,2025-06-03,Premium Growth,12000,3500,8,0,CSM B
S-20075,L-10541,2025-06-09,Enterprise Suite,30000,8000,7,0,CSM A
S-20076,L-10547,2025-05-06,Premium Growth,12000,3500,5,0,CSM A
S-20077,L-10561,2025-06-29,Standard Package,5000,1500,4,7500,CSM B
S-20078,L-10567,2025-04-12,Standard Package,5000,1500,7,7500,CSM A
S-20079,L-10590,2025-05-09,Premium Growth,12000,3500,5,0,CSM B
S-20080,L-10603,2025-07-02,Standard Package,5000,1500,9,0,CSM A
S-20081,L-10621,2025-05-03,Standard Package,5000,1500,4,0,CSM A
S-20082,L-10633,2025-04-02,Standard Package,5000,1500,5,2500,CSM A
S-20083,L-10653,2025-06-04,Premium Growth,12000,3500,6,0,CSM A
S-20084,L-10674,2025-06-15,Premium Growth,12000,3500,1,0,CSM A
S-20085,L-10687,2025-06-20,Premium Growth,12000,3500,5,2500,CSM B
S-20086,L-10689,2025-03-26,Enterprise Suite,30000,8000,11,0,CSM A
S-20087,L-10692,2025-02-25,Standard Package,5000,1500,9,0,CSM A
S-20088,L-10698,2025-05-18,Premium Growth,12000,3500,4,0,CSM A
S-20089,L-10704,2025-06-30,Standard Package,5000,1500,4,0,CSM B
S-20090,L-10705,2025-06-21,Premium Growth,12000,3500,5,0,CSM A
S-20091,L-10716,2025-06-23,Enterprise Suite,30000,8000,10,0,CSM A
S-20092,L-10720,2025-07-01,Premium Growth,12000,3500,7,2500,CSM B
S-20093,L-10721,2025-05-23,Premium Growth,12000,3500,6,0,CSM A
S-20094,L-10725,2025-04-26,Enterprise Suite,30000,8000,8,2500,CSM B
S-20095,L-10752,2025-06-07,Standard Package,5000,1500,11,0,CSM B
S-20096,L-10760,2025-02-05,Enterprise Suite,30000,8000,11,0,CSM B
S-20097,L-10762,2025-02-18,Premium Growth,12000,3500,6,0,CSM A
S-20098,L-10765,2025-05-18,Enterprise Suite,30000,8000,8,0,CSM B
S-20099,L-10767,2025-06-30,Standard Package,5000,1500,5,0,CSM A
S-20100,L-10772,2025-03-05,Standard Package,5000,1500,5,0,CSM A
S-20101,L-10777,2025-04-15,Premium Growth,12000,3500,3,2500,CSM A
S-20102,L-10784,2025-05-18,Enterprise Suite,30000,8000,11,0,CSM B
S-20103,L-10785,2025-03-10,Standard Package,5000,1500,7,0,CSM A
S-20104,L-10788,2025-06-06,Standard Package,5000,1500,5,0,CSM B
S-20105,L-10793,2025-06-08,Enterprise Suite,30000,8000,11,0,CSM A
S-20106,L-10797,2025-01-28,Enterprise Suite,30000,8000,10,0,CSM A
S-20107,L-10807,2025-06-14,Standard Package,5000,1500,5,0,CSM A
S-20108,L-10810,2025-06-01,Standard Package,5000,1500,7,7500,CSM A
S-20109,L-10829,2025-06-03,Enterprise Suite,30000,8000,10,0,CSM A
S-20110,L-10831,2025-05-31,Standard Package,5000,1500,5,0,CSM B
S-20111,L-10840,2025-05-29,Standard Package,5000,1500,7,0,CSM B
S-20112,L-10847,2025-06-08,Standard Package,5000,1500,5,0,CSM A
S-20113,L-10848,2025-03-07,Premium Growth,12000,3500,4,0,CSM B
S-20114,L-10853,2025-06-11,Standard Package,5000,1500,6,0,CSM A
S-20115,L-10858,2025-06-24,Standard Package,5000,1500,4,0,CSM A
S-20116,L-10861,2025-05-10,Premium Growth,12000,3500,3,2500,CSM A
S-20117,L-10869,2025-03-27,Standard Package,5000,1500,8,0,CSM B
S-20118,L-10870,2025-06-06,Enterprise Suite,30000,8000,10,0,CSM B
S-20119,L-10873,2025-04-09,Standard Package,5000,1500,7,7500,CSM B
S-20120,L-10893,2025-02-17,Standard Package,5000,1500,7,2500,CSM A
S-20121,L-10900,2025-04-25,Standard Package,5000,1500,6,2500,CSM A
S-20122,L-10909,2025-05-03,Premium Growth,12000,3500,1,7500,CSM A
S-20123,L-10913,2025-06-09,Premium Growth,12000,3500,4,0,CSM B
S-20124,L-10944,2025-06-02,Premium Growth,12000,3500,10,7500,CSM B
S-20125,L-10954,2025-06-28,Premium Growth,12000,3500,3,2500,CSM B
S-20126,L-10958,2025-04-03,Standard Package,5000,1500,5,0,CSM A
S-20127,L-10974,2025-04-30,Premium Growth,12000,3500,6,0,CSM B
S-20128,L-10982,2025-04-30,Enterprise Suite,30000,8000,9,0,CSM A
S-20129,L-10985,2025-04-14,Enterprise Suite,30000,8000,8,7500,CSM A
S-20130,L-10989,2025-06-03,Standard Package,5000,1500,8,2500,CSM A
S-20131,L-10994,2025-04-30,Premium Growth,12000,3500,2,0,CSM A
S-20132,L-10999,2025-06-12,Premium Growth,12000,3500,4,0,CSM A
S-20133,L-11010,2025-06-04,Standard Package,5000,1500,8,0,CSM B
S-20134,L-11031,2025-05-09,Premium Growth,12000,3500,8,0,CSM B
S-20135,L-11033,2025-04-24,Standard Package,5000,1500,6,0,CSM B
S-20136,L-11034,2025-05-02,Standard Package,5000,1500,9,0,CSM A
S-20137,L-11046,2025-02-13,Standard Package,5000,1500,3,0,CSM A
S-20138,L-11058,2025-07-02,Premium Growth,12000,3500,5,0,CSM A
S-20139,L-11062,2025-01-27,Premium Growth,12000,3500,3,0,CSM A
S-20140,L-11063,2025-06-02,Enterprise Suite,30000,8000,12,0,CSM B
S-20141,L-11066,2025-06-21,Premium Growth,12000,3500,6,2500,CSM A
S-20142,L-11074,2025-04-21,Premium Growth,12000,3500,4,7500,CSM A
S-20143,L-11082,2025-05-19,Enterprise Suite,30000,8000,10,0,CSM A
S-20144,L-11087,2025-03-25,Premium Growth,12000,3500,4,0,CSM B
S-20145,L-11103,2025-06-27,Enterprise Suite,30000,8000,9,0,CSM A
S-20146,L-11105,2025-05-25,Premium Growth,12000,3500,9,0,CSM A
S-20147,L-11128,2025-04-12,Standard Package,5000,1500,3,0,CSM A
S-20148,L-11130,2025-04-22,Enterprise Suite,30000,8000,11,0,CSM B
S-20149,L-11144,2025-06-11,Standard Package,5000,1500,4,0,CSM A
S-20150,L-11157,2025-01-23,Standard Package,5000,1500,9,0,CSM B
S-20151,L-11165,2025-06-24,Standard Package,5000,1500,5,2500,CSM B
S-20152,L-11177,2025-06-23,Enterprise Suite,30000,8000,5,0,CSM B
S-20153,L-11182,2025-05-17,Standard Package,5000,1500,4,0,CSM A
S-20154,L-11199,2025-03-18,Standard Package,5000,1500,11,7500,CSM A
S-20155,L-11202,2025-02-19,Standard Package,5000,1500,7,7500,CSM B
S-20156,L-11209,2025-01-26,Standard Package,5000,1500,3,0,CSM A
S-20157,L-11214,2025-03-31,Premium Growth,12000,3500,5,0,CSM B
S-20158,L-11218,2025-05-15,Premium Growth,12000,3500,4,0,CSM B
S-20159,L-11221,2025-06-16,Standard Package,5000,1500,5,7500,CSM A
S-20160,L-11230,2025-05-10,Standard Package,5000,1500,7,0,CSM A
S-20161,L-11232,2025-05-26,Standard Package,5000,1500,8,0,CSM A
S-20162,L-11233,2025-04-18,Premium Growth,12000,3500,7,0,CSM B
S-20163,L-11256,2025-04-18,Premium Growth,12000,3500,3,0,CSM A
S-20164,L-11259,2025-06-22,Enterprise Suite,30000,8000,11,0,CSM B
S-20165,L-11278,2025-04-15,Premium Growth,12000,3500,3,0,CSM A
S-20166,L-11279,2025-06-18,Standard Package,5000,1500,4,2500,CSM B
S-20167,L-11282,2025-02-05,Standard Package,5000,1500,3,2500,CSM A
S-20168,L-11290,2025-07-02,Standard Package,5000,1500,7,0,CSM B
S-20169,L-11293,2025-06-03,Standard Package,5000,1500,9,0,CSM B
S-20170,L-11313,2025-03-11,Standard Package,5000,1500,6,0,CSM A
S-20171,L-11331,2025-05-08,Standard Package,5000,1500,5,0,CSM B
S-20172,L-11337,2025-03-15,Premium Growth,12000,3500,9,0,CSM B
S-20173,L-11339,2025-04-11,Enterprise Suite,30000,8000,7,0,CSM B
S-20174,L-11341,2025-03-11,Enterprise Suite,30000,8000,12,2500,CSM A
S-20175,L-11345,2025-06-09,Standard Package,5000,1500,6,0,CSM B
S-20176,L-11356,2025-05-10,Standard Package,5000,1500,8,0,CSM A
S-20177,L-11360,2025-01-14,Premium Growth,12000,3500,6,0,CSM B
S-20178,L-11369,2025-03-01,Premium Growth,12000,3500,2,7500,CSM B
S-20179,L-11371,2025-03-22,Standard Package,5000,1500,5,0,CSM B
S-20180,L-11378,2025-06-15,Premium Growth,12000,3500,2,0,CSM A
S-20181,L-11388,2025-04-14,Premium Growth,12000,3500,5,0,CSM B
S-20182,L-11391,2025-05-31,Premium Growth,12000,3500,5,2500,CSM A
S-20183,L-11399,2025-06-07,Premium Growth,12000,3500,9,0,CSM A
S-20184,L-11406,2025-06-03,Standard Package,5000,1500,8,0,CSM A
S-20185,L-11413,2025-04-01,Premium Growth,12000,3500,7,0,CSM A
S-20186,L-11429,2025-06-02,Premium Growth,12000,3500,4,0,CSM A
S-20187,L-11432,2025-05-11,Standard Package,5000,1500,7,0,CSM B
S-20188,L-11433,2025-06-04,Premium Growth,12000,3500,3,0,CSM B
S-20189,L-11436,2025-04-15,Premium Growth,12000,3500,8,0,CSM B
S-20190,L-11437,2025-05-09,Standard Package,5000,1500,4,0,CSM B
S-20191,L-11453,2025-06-29,Enterprise Suite,30000,8000,11,0,CSM B
S-20192,L-11464,2025-02-03,Standard Package,5000,1500,8,0,CSM A
S-20193,L-11474,2025-05-19,Enterprise Suite,30000,8000,9,0,CSM B
S-20194,L-11477,2025-04-10,Standard Package,5000,1500,8,0,CSM B
S-20195,L-11492,2025-04-27,Premium Growth,12000,3500,7,0,CSM A
S-20196,L-11500,2025-05-29,Premium Growth,12000,3500,3,2500,CSM B
S-20197,L-11514,2025-05-14,Standard Package,5000,1500,3,2500,CSM A
S-20198,L-11521,2025-03-18,Enterprise Suite,30000,8000,11,0,CSM B
S-20199,L-11526,2025-03-31,Standard Package,5000,1500,2,0,CSM B
S-20200,L-11542,2025-06-26,Premium Growth,12000,3500,7,0,CSM A
S-20201,L-11543,2025-06-29,Standard Package,5000,1500,4,0,CSM B
S-20202,L-11548,2025-06-05,Enterprise Suite,30000,8000,7,0,CSM A
S-20203,L-11563,2025-03-25,Standard Package,5000,1500,9,2500,CSM B
S-20204,L-11565,2025-02-23,Standard Package,5000,1500,5,0,CSM B
S-20205,L-11566,2025-02-10,Standard Package,5000,1500,5,0,CSM A
S-20206,L-11586,2025-06-07,Standard Package,5000,1500,3,0,CSM A
S-20207,L-11587,2025-04-25,Enterprise Suite,30000,8000,10,0,CSM B
S-20208,L-11592,2025-02-25,Enterprise Suite,30000,8000,12,7500,CSM A
S-20209,L-11600,2025-06-05,Premium Growth,12000,3500,3,0,CSM B
S-20210,L-11613,2025-05-27,Premium Growth,12000,3500,4,7500,CSM B
S-20211,L-11618,2025-04-25,Standard Package,5000,1500,6,0,CSM A
S-20212,L-11622,2025-05-28,Premium Growth,12000,3500,6,0,CSM B
S-20213,L-11651,2025-03-24,Premium Growth,12000,3500,10,7500,CSM B
S-20214,L-11668,2025-04-27,Enterprise Suite,30000,8000,9,0,CSM B
S-20215,L-11677,2025-03-03,Standard Package,5000,1500,5,0,CSM A
S-20216,L-11683,2025-04-24,Enterprise Suite,30000,8000,10,0,CSM B
S-20217,L-11687,2025-05-27,Standard Package,5000,1500,5,0,CSM B
S-20218,L-11689,2025-05-11,Premium Growth,12000,3500,9,2500,CSM A
S-20219,L-11707,2025-06-03,Standard Package,5000,1500,4,0,CSM A
S-20220,L-11710,2025-07-05,Standard Package,5000,1500,2,0,CSM B
S-20221,L-11730,2025-06-24,Premium Growth,12000,3500,3,2500,CSM A
S-20222,L-11743,2025-04-12,Enterprise Suite,30000,8000,12,0,CSM A
S-20223,L-11747,2025-03-06,Premium Growth,12000,3500,7,0,CSM B
S-20224,L-11749,2025-06-11,Standard Package,5000,1500,4,0,CSM B
S-20225,L-11756,2025-05-15,Standard Package,5000,1500,4,0,CSM B
S-20226,L-11759,2025-04-15,Standard Package,5000,1500,6,0,CSM A
S-20227,L-11776,2025-06-08,Standard Package,5000,1500,6,2500,CSM B
S-20228,L-11793,2025-02-17,Premium Growth,12000,3500,6,0,CSM A
S-20229,L-11799,2025-06-20,Standard Package,5000,1500,3,0,CSM B
S-20230,L-11807,2025-05-31,Standard Package,5000,1500,6,0,CSM B
S-20231,L-11819,2025-02-27,Standard Package,5000,1500,6,0,CSM B
S-20232,L-11829,2025-06-23,Premium Growth,12000,3500,11,0,CSM A
S-20233,L-11832,2025-05-02,Premium Growth,12000,3500,5,0,CSM B
S-20234,L-11834,2025-02-19,Premium Growth,12000,3500,8,2500,CSM B
S-20235,L-11850,2025-06-12,Standard Package,5000,1500,2,0,CSM A
S-20236,L-11852,2025-03-13,Enterprise Suite,30000,8000,10,0,CSM A
S-20237,L-11853,2025-06-28,Enterprise Suite,30000,8000,8,0,CSM B
S-20238,L-11857,2025-06-28,Standard Package,5000,1500,7,0,CSM A
S-20239,L-11875,2025-06-08,Enterprise Suite,30000,8000,9,2500,CSM B
S-20240,L-11881,2025-05-09,Standard Package,5000,1500,6,0,CSM A
S-20241,L-11889,2025-06-16,Standard Package,5000,1500,4,0,CSM A
S-20242,L-11894,2025-04-15,Enterprise Suite,30000,8000,11,0,CSM B
S-20243,L-11897,2025-02-18,Enterprise Suite,30000,8000,12,0,CSM A
S-20244,L-11899,2025-03-03,Premium Growth,12000,3500,8,2500,CSM B
S-20245,L-11906,2025-06-21,Standard Package,5000,1500,2,0,CSM A
S-20246,L-11907,2025-05-10,Enterprise Suite,30000,8000,12,2500,CSM A
S-20247,L-11909,2025-06-15,Standard Package,5000,1500,5,0,CSM A
S-20248,L-11912,2025-05-24,Premium Growth,12000,3500,6,7500,CSM A
S-20249,L-11929,2025-03-01,Standard Package,5000,1500,2,0,CSM B
S-20250,L-11932,2025-05-03,Standard Package,5000,1500,4,0,CSM A
S-20251,L-11945,2025-06-08,Enterprise Suite,30000,8000,9,0,CSM A
S-20252,L-11951,2025-06-30,Premium Growth,12000,3500,3,7500,CSM A
S-20253,L-11963,2025-04-05,Enterprise Suite,30000,8000,7,0,CSM B
S-20254,L-11968,2025-04-22,Standard Package,5000,1500,9,0,CSM B
S-20255,L-11974,2025-04-08,Premium Growth,12000,3500,3,2500,CSM B
S-20256,L-11977,2025-06-22,Standard Package,5000,1500,4,0,CSM A
S-20257,L-11983,2025-05-15,Premium Growth,12000,3500,5,0,CSM B
S-20258,L-12016,2025-05-21,Standard Package,5000,1500,3,0,CSM A
S-20259,L-12017,2025-05-05,Standard Package,5000,1500,5,0,CSM B
S-20260,L-12020,2025-03-25,Premium Growth,12000,3500,3,2500,CSM B
S-20261,L-12026,2025-06-21,Enterprise Suite,30000,8000,7,0,CSM B
S-20262,L-12043,2025-06-12,Enterprise Suite,30000,8000,9,7500,CSM A
S-20263,L-12048,2025-02-24,Standard Package,5000,1500,4,0,CSM A
S-20264,L-12057,2025-05-29,Standard Package,5000,1500,4,0,CSM B
S-20265,L-12063,2025-06-25,Premium Growth,12000,3500,1,0,CSM A
S-20266,L-12064,2025-05-21,Standard Package,5000,1500,6,0,CSM A
S-20267,L-12078,2025-04-07,Premium Growth,12000,3500,6,0,CSM B
S-20268,L-12081,2025-03-10,Enterprise Suite,30000,8000,10,0,CSM B
S-20269,L-12085,2025-04-22,Standard Package,5000,1500,9,0,CSM B
S-20270,L-12094,2025-05-24,Premium Growth,12000,3500,4,0,CSM B
S-20271,L-12096,2025-05-02,Premium Growth,12000,3500,5,2500,CSM B
S-20272,L-12128,2025-04-22,Enterprise Suite,30000,8000,9,0,CSM A
S-20273,L-12133,2025-04-18,Standard Package,5000,1500,1,2500,CSM B
S-20274,L-12135,2025-03-17,Standard Package,5000,1500,4,2500,CSM A
S-20275,L-12138,2025-06-23,Standard Package,5000,1500,2,0,CSM B
S-20276,L-12142,2025-06-17,Premium Growth,12000,3500,1,2500,CSM B
S-20277,L-12169,2025-04-16,Standard Package,5000,1500,9,0,CSM A
S-20278,L-12171,2025-04-04,Standard Package,5000,1500,9,0,CSM A
S-20279,L-12172,2025-04-15,Standard Package,5000,1500,6,0,CSM A
S-20280,L-12173,2025-07-06,Standard Package,5000,1500,3,2500,CSM A
S-20281,L-12182,2025-07-07,Premium Growth,12000,3500,4,2500,CSM B
S-20282,L-12184,2025-06-20,Standard Package,5000,1500,2,2500,CSM B
S-20283,L-12198,2025-03-18,Standard Package,5000,1500,7,0,CSM A
S-20284,L-12199,2025-03-07,Standard Package,5000,1500,7,0,CSM A
S-20285,L-12204,2025-01-28,Premium Growth,12000,3500,5,0,CSM B
S-20286,L-12210,2025-05-13,Standard Package,5000,1500,7,0,CSM B
S-20287,L-12213,2025-05-23,Premium Growth,12000,3500,5,0,CSM B
S-20288,L-12222,2025-04-17,Standard Package,5000,1500,6,0,CSM B
S-20289,L-12227,2025-05-14,Standard Package,5000,1500,6,0,CSM A
S-20290,L-12228,2025-05-22,Standard Package,5000,1500,4,2500,CSM B
S-20291,L-12231,2025-06-16,Premium Growth,12000,3500,6,0,CSM A
S-20292,L-12243,2025-06-25,Enterprise Suite,30000,8000,9,7500,CSM A
S-20293,L-12255,2025-06-12,Premium Growth,12000,3500,5,0,CSM A
S-20294,L-12259,2025-06-20,Premium Growth,12000,3500,5,0,CSM A
S-20295,L-12264,2025-05-11,Standard Package,5000,1500,3,0,CSM A
S-20296,L-12278,2025-03-03,Standard Package,5000,1500,7,2500,CSM B
S-20297,L-12288,2025-02-10,Standard Package,5000,1500,7,0,CSM A
S-20298,L-12291,2025-07-04,Enterprise Suite,30000,8000,12,0,CSM B
S-20299,L-12292,2025-03-22,Standard Package,5000,1500,5,0,CSM A
S-20300,L-12306,2025-04-18,Premium Growth,12000,3500,6,0,CSM B
S-20301,L-12310,2025-01-25,Enterprise Suite,30000,8000,7,2500,CSM B
S-20302,L-12312,2025-05-21,Standard Package,5000,1500,4,0,CSM A
S-20303,L-12322,2025-05-23,Enterprise Suite,30000,8000,8,0,CSM B
S-20304,L-12324,2025-03-15,Standard Package,5000,1500,4,0,CSM A
S-20305,L-12329,2025-06-08,Standard Package,5000,1500,5,0,CSM A
S-20306,L-12339,2025-05-03,Standard Package,5000,1500,5,7500,CSM B
S-20307,L-12343,2025-07-03,Premium Growth,12000,3500,6,0,CSM A
S-20308,L-12353,2025-04-24,Standard Package,5000,1500,6,0,CSM A
S-20309,L-12365,2025-05-24,Premium Growth,12000,3500,7,0,CSM B
S-20310,L-12367,2025-04-30,Standard Package,5000,1500,5,0,CSM A
S-20311,L-12387,2025-03-30,Premium Growth,12000,3500,6,0,CSM A
S-20312,L-12391,2025-02-23,Standard Package,5000,1500,3,2500,CSM B
S-20313,L-12417,2025-06-16,Premium Growth,12000,3500,6,0,CSM B
S-20314,L-12431,2025-05-14,Standard Package,5000,1500,4,0,CSM A
S-20315,L-12443,2025-05-28,Standard Package,5000,1500,6,0,CSM A
S-20316,L-12450,2025-06-21,Standard Package,5000,1500,9,0,CSM B
S-20317,L-12451,2025-04-23,Standard Package,5000,1500,8,0,CSM B
S-20318,L-12469,2025-06-23,Standard Package,5000,1500,3,0,CSM A
S-20319,L-12529,2025-04-21,Premium Growth,12000,3500,9,2500,CSM A
S-20320,L-12536,2025-06-06,Premium Growth,12000,3500,6,2500,CSM B
S-20321,L-12545,2025-04-24,Premium Growth,12000,3500,7,0,CSM A
S-20322,L-12548,2025-03-06,Standard Package,5000,1500,3,0,CSM A
S-20323,L-12572,2025-05-23,Enterprise Suite,30000,8000,10,0,CSM A
S-20324,L-12580,2025-06-12,Premium Growth,12000,3500,3,0,CSM A
S-20325,L-12584,2025-06-30,Premium Growth,12000,3500,7,0,CSM B
S-20326,L-12585,2025-06-20,Enterprise Suite,30000,8000,11,2500,CSM A
S-20327,L-12592,2025-06-20,Premium Growth,12000,3500,7,0,CSM A
S-20328,L-12610,2025-04-03,Premium Growth,12000,3500,7,2500,CSM B
S-20329,L-12630,2025-06-02,Enterprise Suite,30000,8000,9,0,CSM A
S-20330,L-12643,2025-06-26,Standard Package,5000,1500,7,0,CSM A
S-20331,L-12645,2025-05-16,Premium Growth,12000,3500,7,2500,CSM A
S-20332,L-12646,2025-05-22,Premium Growth,12000,3500,8,2500,CSM A
S-20333,L-12652,2025-05-29,Standard Package,5000,1500,7,0,CSM B
S-20334,L-12662,2025-02-28,Premium Growth,12000,3500,3,0,CSM B
S-20335,L-12669,2025-04-18,Standard Package,5000,1500,8,2500,CSM B
S-20336,L-12674,2025-02-24,Standard Package,5000,1500,5,0,CSM A
S-20337,L-12677,2025-06-19,Premium Growth,12000,3500,2,0,CSM A
S-20338,L-12681,2025-06-06,Standard Package,5000,1500,3,0,CSM B
S-20339,L-12691,2025-05-26,Premium Growth,12000,3500,6,0,CSM A
S-20340,L-12722,2025-04-23,Premium Growth,12000,3500,8,0,CSM A
S-20341,L-12743,2025-05-18,Premium Growth,12000,3500,4,0,CSM A
S-20342,L-12746,2025-06-18,Standard Package,5000,1500,8,0,CSM B
S-20343,L-12747,2025-03-28,Premium Growth,12000,3500,4,0,CSM B
S-20344,L-12767,2025-02-21,Premium Growth,12000,3500,7,0,CSM B
S-20345,L-12771,2025-06-17,Standard Package,5000,1500,7,0,CSM B
S-20346,L-12785,2025-06-01,Enterprise Suite,30000,8000,11,7500,CSM A
S-20347,L-12787,2025-01-15,Standard Package,5000,1500,6,0,CSM B
S-20348,L-12790,2025-05-30,Standard Package,5000,1500,6,0,CSM B
S-20349,L-12808,2025-05-16,Standard Package,5000,1500,6,0,CSM B
S-20350,L-12818,2025-04-18,Standard Package,5000,1500,4,0,CSM A
S-20351,L-12832,2025-06-16,Premium Growth,12000,3500,7,7500,CSM B
S-20352,L-12842,2025-03-13,Enterprise Suite,30000,8000,12,0,CSM A
S-20353,L-12843,2025-06-09,Premium Growth,12000,3500,10,2500,CSM A
S-20354,L-12845,2025-03-09,Standard Package,5000,1500,4,0,CSM B
